gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4162189837	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/172458553	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		AU		Victoria	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-37.741471	144.918649	61.0						2023-07-12T13:02:00	12	7	2023	1380757	1380757	HUMAN_OBSERVATION	iNaturalist	Observations	172458553		deidreh	2023-07-12T04:36:35	CC_BY_NC_4_0	deidreh	deidreh			2023-07-27T14:33:46.337Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4148525788	54facf62-bf0c-43e7-9972-4fdc407fa6c5	2885ec05-f779-4dd5-ae5d-e9fb0f7d0e9b	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa Fisher & La Salle, 2004		FR			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	43.19255	5.61277	4968.0						2017-02-19T00:00:00	19	2	2017	1380757	1380757	HUMAN_OBSERVATION							CC_BY_4_0		H. Dumas			2023-07-12T13:48:43.161Z		CONTINENT_DERIVED_FROM_COORDINATES
4148508832	54facf62-bf0c-43e7-9972-4fdc407fa6c5	f9ad73f3-0367-473c-9506-7939a44cf479	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa Fisher & La Salle, 2004		FR			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	43.67121	7.20069							2017-11-22T00:00:00	22	11	2017	1380757	1380757	HUMAN_OBSERVATION							CC_BY_4_0		Pierre Gros			2023-07-12T13:48:54.601Z		FOOTPRINT_WKT_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES
4148452162	54facf62-bf0c-43e7-9972-4fdc407fa6c5	9bb1360b-f81f-48bf-8cfc-0653e6f99c70	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa Fisher & La Salle, 2004		FR			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	43.19255	5.61277	4968.0						2017-02-19T00:00:00	19	2	2017	1380757	1380757	HUMAN_OBSERVATION							CC_BY_4_0		H. Dumas			2023-07-12T13:49:04.979Z		CONTINENT_DERIVED_FROM_COORDINATES
4146270829	73873fcc-2bea-49a0-b38e-96797faf74c0	43802	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		IT	Sardinia		PRESENT		1cd669d0-80ea-11de-a9d0-f1765f95f18b	40.593751	8.167206							2022-05-21T00:00:00	21	5	2022	1380757	1380757	HUMAN_OBSERVATION	INBO						CC0_1_0	INBO	AlienCSI bioblitz		Introduced	2023-07-07T13:22:17.130Z		COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
4146270826	73873fcc-2bea-49a0-b38e-96797faf74c0	43806	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		IT	Sardinia		PRESENT		1cd669d0-80ea-11de-a9d0-f1765f95f18b	40.593768	8.166887							2022-05-21T00:00:00	21	5	2022	1380757	1380757	HUMAN_OBSERVATION	INBO						CC0_1_0	INBO	AlienCSI bioblitz		Introduced	2023-07-07T13:22:17.129Z		COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
4146270221	73873fcc-2bea-49a0-b38e-96797faf74c0	43722	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		IT	Sardinia		PRESENT		1cd669d0-80ea-11de-a9d0-f1765f95f18b	40.594124	8.166778							2022-05-21T00:00:00	21	5	2022	1380757	1380757	HUMAN_OBSERVATION	INBO						CC0_1_0	INBO	AlienCSI bioblitz		Introduced	2023-07-07T13:22:17Z		COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
4146269820	73873fcc-2bea-49a0-b38e-96797faf74c0	43741	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		IT	Sardinia		PRESENT		1cd669d0-80ea-11de-a9d0-f1765f95f18b	40.594321	8.166572							2022-05-21T00:00:00	21	5	2022	1380757	1380757	HUMAN_OBSERVATION	INBO						CC0_1_0	INBO	AlienCSI bioblitz		Introduced	2023-07-07T13:22:16.846Z		COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
4146269768	73873fcc-2bea-49a0-b38e-96797faf74c0	43771	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		IT	Sardinia		PRESENT		1cd669d0-80ea-11de-a9d0-f1765f95f18b	40.593983	8.167709							2022-05-21T00:00:00	21	5	2022	1380757	1380757	HUMAN_OBSERVATION	INBO						CC0_1_0	INBO	AlienCSI bioblitz		Introduced	2023-07-07T13:22:16.837Z		COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
4146269588	73873fcc-2bea-49a0-b38e-96797faf74c0	44030	Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Leptocybe	Leptocybe invasa		SPECIES	Leptocybe invasa Fisher & La Salle, 2004	Leptocybe invasa		IT	Sardinia		PRESENT		1cd669d0-80ea-11de-a9d0-f1765f95f18b	40.821021	8.519154							2022-05-20T00:00:00	20	5	2022	1380757	1380757	HUMAN_OBSERVATION	INBO						CC0_1_0	INBO	AlienCSI bioblitz		Introduced	2023-07-07T13:22:16.804Z		COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES
