Date,Label,Village,District,Province,LAO 00:,Lat.,Long,Host,"Galls present/ absent (1= present, 0=absent)",No emergence,Leptocybe F,Leptocybe M,Total Leptocybe,Quadrastichus,Total wasps,unknown,%,,Label: LAO -,,,,,,,,,
29/01/2015,,,Kaysone Phomvihane,Savannakhet,15,16.550163,104.85724,,1,,0,0,0,14,14,,100,,,,,,,,,,,
31/03/2015,,Nabong,Xaysetha,Vientiane Capital,1,18.109722,102.75194,K7,0,,,,0,,0,,,,,,,,,,,,,
1/04/2015,,Houakhoua,Mayparkngum,Vientiane Capital,2,18.281111,102.76306,K7,1,x,,,0,,0,,,,,,,,,,,,,
1/04/2015,,Houana,Mayparkngum,Vientiane Capital,3,18.275,102.76194,K7,1,x,,,0,,0,,,,,,,,,,,,,
1/04/2015,,Dong,Thoulakhom,Vientiane,4,18.273333,102.68056,K7,1,x,,,0,,0,,,,,,,,,,Row Labels,Sum of Leptocybe F,Sum of Leptocybe M,Sum of Quadrastichus
1/04/2015,,Pak Hang,Thoulakhom,Vientiane,5,18.3425,102.66111,Euc. Sp,0,,,,0,,0,,,,,,,,,,Anouvong,,,
1/04/2015,,Phonekeo,Thoulakhom,Vientiane,6,18.305278,102.67056,Euc. Sp,0,,,,0,,0,,,,,,,,,,Atsaphangthong,,,
1/04/2015,,Na ngern,Thoulakhom,Vientiane,7,18.282222,102.71667,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Champone,,,6
1/04/2015,,xaythany,Xaythany,Vientiane Capital,8,18.169722,102.62500,Euc. Sp,0,,,,0,,0,,,,,,,,,,Hinboun,,,
21/05/2015,,Phounhinhong,Nong,Savannakhet,9,16.40062,106.49432,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Hinherb,7,,27
21/05/2015,,Tumlouang ,Nong,Savannakhet,10,16.53398,106.45922,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Kaysone Phomvihane,0,0,14
21/05/2015,,Xangchaen ,Nong,Savannakhet,11,16.58194,106.42978,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Khong,,,3
21/05/2015,,Feuang,Sepon,Savannakhet,12,16.62205,106.56377,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Khongkhon,,,
21/05/2015,,Houysan,Sepon,Savannakhet,13,16.618,106.53969,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Khongsedon,4,1,14
21/05/2015,,Houysan,Sepon,Savannakhet,14,16.61879,106.52972,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Lakhonpheng,,,
21/05/2015,,Samoun,Sepon,Savannakhet,15,16.62208,106.50536,Euc. Sp,0,,,,0,,0,,,,,,,,,,Laongam,,,
21/05/2015,,Kaengyang,Sepon,Savannakhet,16,16.61313,106.48925,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Mayparkngum,,,
21/05/2015,,Kadab,Sepon,Savannakhet,17,16.61847,106.47121,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Nong,,,
21/05/2015,,Sakiphin,Sepon,Savannakhet,18,16.62129,106.45338,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Outhoumphone,2,0,6
21/05/2015,,Kaengpae,Sepon,Savannakhet,19,16.644669,106.39187,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Pakkading,,,
21/05/2015,,Kaenglouang ,Sepon,Savannakhet,20,16.64672,106.36089,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Paklai,4,,9
21/05/2015,,Houy la ar,Sepon,Savannakhet,21,16.66682,106.23937,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Paksan,1,0,0
22/05/2015,,Houy hok,Sepon,Savannakhet,22,16.68246,106.25657,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Pathumphone,,,
22/05/2015,,Houy chaeng kao,Sepon,Savannakhet,23,16.68321,106.25079,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Peak,34,3,41
22/05/2015,,Houy chaeng mai,Sepon,Savannakhet,24,16.6861,106.24620,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Phalan,,,
22/05/2015,,Houy mouang,Sepon,Savannakhet,25,16.69117,106.23734,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Phalanxay,0,0,1
22/05/2015,,Phon mouang,Sepon,Savannakhet,26,16.70824,106.18242,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Phin,1,0,1
22/05/2015,,Nabo,Sepon,Savannakhet,27,16.71089,106.15159,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Phonthong,6,,7
22/05/2015,,Houyxay,Sepon,Savannakhet,28,16.69282,106.13189,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Phoukod,,,
22/05/2015,,Vangkung,Sepon,Savannakhet,29,16.64105,106.10682,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Saiphouthong,,,
22/05/2015,,Kongtheun,Sepon,Savannakhet,30,16.66012,106.11582,Euc. Sp,1,,0,0,0,7,7,,100,,,,,,,,Salavanh,14,,17
22/05/2015,,Phonxay,Sepon,Savannakhet,31,16.67851,106.12955,Euc. Sp,1,x,,,0,,0,,,,,,,,,,Sanasomboun,5,,18
