Date,Location,Province,seq. no 00:,Lat.,Long,Host,"Galls present/ absent (1= present, 0=absent)",No emergence,Leptocybe F,Leptocybe M,Total Leptocybe,Quadrastichus,Total wasps,% parasitism,other,,,,,
13/07/2015,Chachoengsao,Prachin Buri,1,13.240278,101.683611,K7,1,,2,,2,3,5,42.86,,,,,,
13/07/2015,Chachoengsao,Prachin Buri,1,13.75788001,101.684023,K7,1,,2,0,2,1,3,20.00,,,Row Labels,Sum of Leptocybe F,Sum of Leptocybe M,Sum of Quadrastichus
13/07/2015,Chachoengsao,Prachin Buri,1,13.75788001,101.684023,K7,1,,2,0,2,2,4,33.33,,,Ayutthaya,1,,
13/07/2015,Chachoengsao,Prachin Buri,2,13.757734,101.683771,K7,1,,14,0,14,22,36,44.00,,,Buriram,3,,7
13/07/2015,Chachoengsao,Prachin Buri,2,13.757734,101.683771,K7,1,,47,0,47,28,75,22.95,,,Chachoengsao,32,,112
13/07/2015,Sa Kaeo,Sa Kaeo,2,13.980833,102.059167,K7,0,,,,0,,0,,,,Chainat,19,,21
13/07/2015,Sa Kaeo,Sa Kaeo,3,13.937778,102.1025,K7,0,,,,0,,0,,,,Chonburi,1,,7
13/07/2015,Sa Kaeo,Sa Kaeo,4,13.940556,102.103889,K7,0,,,,0,,0,,,,Kalasin,8,11,
13/07/2015,Sa Kaeo,Sa Kaeo,1,13.93786303,102.102454,Euc.sp,0,,,,0,,0,,,,Kamphaeng Phet,772,,549
13/07/2015,Sa Kaeo,Sa Kaeo,1,13.93786303,102.102454,Euc.sp,0,,,,0,,0,,,,Kanchanaburi,415,,145
13/07/2015,Sa Kaeo,Sa Kaeo,5,13.93811197,102.102101,Euc.sp,0,,,,0,,0,,,,Khon Kaen,6,,34
13/07/2015,Sa Kaeo,Sa Kaeo,5,13.93811197,102.102101,Euc.sp,0,,,,0,,0,,,,Lampang,,,
13/07/2015,Sa Kaeo,Sa Kaeo,6,13.94060399,102.103739,Euc.sp,0,,,,0,,0,,,,Mukdahan,,,
13/07/2015,Sa Kaeo,Sa Kaeo,6,13.94060399,102.103739,Euc.sp,1,,0,0,0,2,2,100.00,,,Nakhon Phanom,,,
13/07/2015,Sa Kaeo,Sa Kaeo,7,13.98077602,102.05089,Euc.sp,0,,,,0,,0,,,,Nakhon Ratchasima,26,0,69
13/07/2015,Sa Kaeo,Sa Kaeo,7,13.98077602,102.05089,Euc.sp,0,,,,0,,0,,,,Nakhon Ratchisma,19,,23
13/07/2015,Sa Kaeo,Sa Kaeo,8,13.98149796,102.050979,Euc.sp,0,,,,0,,0,,,,Nakhon Sawan,,,
13/07/2015,Sa Kaeo,Sa Kaeo,8,13.98149796,102.050979,Euc.sp,0,,,,0,,0,,,,Phetchaburi,0,,
13/07/2015,Sa Kaeo,Sa Kaeo,,14.50871497,101.956984,Euc.sp,1,x,,,0,,0,,,,Phichit,46,,6
14/07/2015,Nakhon Ratchisma,Nakhon Ratchisma,5,14.69325598,101.963523,Euc.sp,0,,,,0,,0,,,,Phitsanulok,4,,
14/07/2015,Nakhon Ratchisma,Nakhon Ratchisma,6,14.67966498,101.896292,Euc.sp,0,,,,0,,0,,,,Phrae,,,
14/07/2015,Nakhon Ratchisma,Nakhon Ratchisma,7,14.59262101,101.89095,Euc.sp,0,,,,0,,0,,,,Prachin Buri,67,0,56
14/07/2015,Nakhon Ratchisma,Nakhon Ratchisma,8,14.588607,101.892438,Euc.sp,0,,,,0,,0,,,,Prachuap Khiri Khan,,,
14/07/2015,Nakhon Ratchisma,Nakhon Ratchisma,9,14.582078,101.891718,Euc.sp,0,,,,0,,0,,,,Ratchaburi,786,,402
14/07/2015,Nakhon Ratchisma,Nakhon Ratchisma,,14.49321298,101.94274,Euc.sp,1,x,,,0,,0,,,,Rayong,20,,25
