Lineage,,Origin,Lat,Lon
A,invasive,African,34.16,0.452
A,invasive,African,34.172,0.363
A,invasive,African,34.999,-0.08
A,invasive,African,38.156,-3.616
A,invasive,African,35.099,-1.284
A,invasive,African,36.82,-1
A,invasive,African,37,-6.789
A,invasive,African,34.715,-8.6
A,invasive,African,31.937,-5.116
A,invasive,African,27.744,-25.753
A,invasive,African,34.208,0.657
A,invasive,African,32.03,-25.959
A,invasive,African,21.287,-28.465
A,invasive,African,27.795,-25.615
A,invasive,African,30.57,-30.572
A,invasive,African,32.084,-28.606
A,invasive,African,38,1
A,invasive,African,35,-18.25
A,invasive,African,26,-30
A,invasive,African,35,-6
A,invasive,African,33,2
A,invasive,African,29,-19
A,invasive,African,39.331,10.148
A,invasive,African,38,8
A,invasive,American,-51.999,-23.506
A,invasive,American,-79.855,26.129
A,invasive,American,-99.176,19.323
A,invasive,American,-99.072,19.463
A,invasive,American,-99.12,19.405
A,invasive,American,-99.089,19.354
A,invasive,American,-99.114,19.453
A,invasive,American,-99.108,19.254
A,invasive,American,-103.336,20.649
A,invasive,American,-98.961,18.863
A,invasive,American,-99.058,19.479
A,invasive,American,-98.876,19.333
A,invasive,American,-99.051,23.709
A,invasive,American,-46.522,-21.463
A,invasive,American,-42,-12
A,invasive,American,-55,-10
A,invasive,American,-49.636,-15.581
A,invasive,American,-45,-5
A,invasive,American,-44,-18
A,invasive,American,-51,-24
A,invasive,American,-49,-22
A,invasive,American,-48,-10.5
A,invasive,American,-82.5,28.751
A,invasive,American,-98.5,39.76
A,invasive,American,-56,-33
A,invasive,Mediterranean,43,36.864
A,invasive,Mediterranean,43,36.864
A,invasive,Mediterranean,34.832,32
A,invasive,Mediterranean,36.067,36.133
A,invasive,Mediterranean,35.483,36.967
A,invasive,Mediterranean,35.633,36.95
A,invasive,Mediterranean,35.667,36.983
A,invasive,Mediterranean,35.733,37.017
A,invasive,Mediterranean,35.65,37.25
A,invasive,Mediterranean,35.85,37.367
A,invasive,Mediterranean,35.917,37.333
A,invasive,Mediterranean,36.05,37.35
A,invasive,Mediterranean,36.083,37.367
A,invasive,Mediterranean,36.2,37.117
A,invasive,Mediterranean,36.35,37.283
A,invasive,Mediterranean,35.833,33.033
A,invasive,Mediterranean,35.8,32.967
A,invasive,Mediterranean,35.4,32.767
A,invasive,Mediterranean,35.583,33.067
A,invasive,Mediterranean,35.45,32.5
A,invasive,Mediterranean,34.9,32.433
A,invasive,Mediterranean,34.867,32.083
A,invasive,Mediterranean,52.468,29.662
A,invasive,Mediterranean,3,28
A,invasive,Mediterranean,2,46
A,invasive,Mediterranean,22,39
A,invasive,Mediterranean,53,32
A,invasive,Mediterranean,34.75,31.5
A,invasive,Mediterranean,12.833,42.833
A,invasive,Mediterranean,36,31
A,invasive,Mediterranean,14.433,35.917
A,invasive,Mediterranean,-5,32
A,invasive,Mediterranean,-8,39.5
A,invasive,Mediterranean,-4,40
A,invasive,Mediterranean,38,35
A,invasive,Mediterranean,9,34
A,invasive,Mediterranean,35,39
B,invasive,Asian,121.588,24.998
B,invasive,Asian,121.51,25.031
B,invasive,Asian,121.343,25.093
B,invasive,Asian,121.487,25.183
B,invasive,Asian,120.557,23.637
B,invasive,Asian,120.557,23.636
B,invasive,Asian,81,17.667
B,invasive,Asian,105.724,21.341
B,invasive,Asian,108,22.133
B,invasive,Asian,80.377,7.64
B,invasive,Asian,109.5,18.32
B,invasive,Asian,109.563,19.499
B,invasive,Asian,110.083,21.267
B,invasive,Asian,74.982,15.491
B,invasive,Asian,105,35
B,invasive,Asian,113,23
B,invasive,Asian,109,24
B,invasive,Asian,109.6,19.2
B,invasive,Asian,79,16
B,invasive,Asian,77,20
B,invasive,Asian,76,13.5
B,invasive,Asian,76.5,10
B,invasive,Asian,78,11
B,invasive,Asian,105,18
B,invasive,Asian,100,15
B,invasive,Asian,107.833,16.167
B,endemic,Australian,151.133,-25.333
B,endemic,Australian,151.433,-26.083
B,endemic,Australian,144.633,-17.367
B,endemic,Australian,144.817,-17.417
B,endemic,Australian,144.617,-16.95
B,endemic,Australian,150.016,-26.689
B,endemic,Australian,151.05,-27.5
B,endemic,Australian,152.983,-27.467
B,endemic,Australian,153,-27.533
B,endemic,Australian,144.567,-17.56
