Lat ,Long,Elevasi,Source
0.333,101.85,10,Tavares et al (2023)
-9.06519,124.84118,147,Napitupulu (2023)
-8.77427,121.77455,789-1347,Napitupulu (2023)
-8.55385,122.74429,126-581,Napitupulu (2023)
-8.64612,122.43537,354-413,Napitupulu (2023)
-9.83808,124.21252,925-1827,Napitupulu (2023)
-9.57641,124.32607,1036-1085,Napitupulu (2023)
-9.831667,124.3,,Puspasari (2020)
-3.3245,104.87,,EPPO
0.3304,101.2397,,EPPO
0.5695,117619,,EPPO
6.5971,106.806,,EPPO
4.9792,119.6476,,EPPO
13.66223,101.08675,,GBIF
16.51735,105.91339,,GBIF
18.11728,103.76376,,GBIF
3.67166,114.6333,,GBIF
16,107,,ResearchGate
13.75,100.5,,Bioone
4.21,101.98,,Bioone
14.2,99.78,,Dittrich-Schro¨der G et al (2018)
16.55,104.75,,Dittrich-Schro¨der G et al (2018)
21.37,105.79,,Thu (2009)
10.82,106.71,,Binh (2016)
11.12,107.18,,Binh (2016)
11.75,106.92,,Binh (2016)
19.42,103.5,,Zheng (2014)
17.98,102.63,,Zheng (2014)
7.48,80.65,,Zheng (2014)
5.25,117,,Zheng (2014)
